"message","en","ru"
"new_project.title","New Project","Новый Проект"
"new_track.name","New Track","Дорожка"
"new_group.name","New Group","Группа"
"current_filepath_label.text","opened file","открыт файл"
"save_button.text","Save","Сохранить"
"open_button.text","Open","Открыть"
"group.visibility_button.active.text","hide","скрыть"
"group.visibility_button.inactive.text","show","показать"
"add_group_button.text","Add Group","Добавить Группу"
"counter_tools.label","counters","счетчики"
"counter_tools.counter_line_button.text","Line","Линия"
"context_menu.track.title","Track Menu","Меню Дорожки"
"context_menu.track.delete_button.text","delete track","удалить дорожку"
"context_menu.group.title","Group Menu","Меню Группы"
"context_menu.group.add_track_button.text","add track","добавить дорожку"
"context_menu.group.delete_button.text","delete group","удалить группу"
"context_menu.counter.title","Counter Menu","Меню Счетчика"
"context_menu.counter.delete_button.text","delete counter","удалить счетчик"
"month.0.name","January","Январь"
"month.1.name","February","Февраль"
"month.2.name","March","Март"
"month.3.name","April","Апрель"
"month.4.name","May","Май"
"month.5.name","June","Июнь"
"month.6.name","July","Июль"
"month.7.name","August","Август"
"month.8.name","September","Сентябрь"
"month.9.name","October","Октябрь"
"month.10.name","November","Ноябрь"
"month.11.name","December","Декабрь"
"day.0.name","Sun","Вс"
"day.1.name","Mon","Пн"
"day.2.name","Tue","Вт"
"day.3.name","Wed","Ср"
"day.4.name","Thu","Чт"
"day.5.name","Fri","Пт"
"day.6.name","Sat","Сб"
